A Haunted House 2	鬼屋电影2
Fantastic Beasts and Where to Find Them	怪兽与牠们的产地
Little Fockers	门当父不对之我才是老大
Merry Friggin' Christmas	该死的圣诞快乐
The Fifth Element	第五元素
Train to Busan	尸速列车
Insidious- Chapter 2	阴儿房第2章：阴魂守舍
It Comes At Night	它在黑夜到访
Salt	特务间谍
Detention	留命查看
Tammy	谭美
High School Musical	歌舞青春
The Hunger Games- Mockingjay - Part 2 (2015)	饥饿游戏：自由幻梦 终结战
Memoirs of a Geisha 	艺伎回忆录
X-Men- Days of Future Past	X战警：未来昔日
The Hobbit 3- The Battle of the Five Armies (2014)	哈比人：五军之战
We Are What We Are	尸房宴
Kung Fu Killer	一个人的武林
Three Billboards Outside Ebbing Missouri	意外
Post Grad	毕业生行不行
Stage Fright	舞台惊魂
The Pyramid	惊字塔
Season of the Witch	魔女神兵
Like Crazy	爱疯了
Rings	七夜怪谭
Breakfast at Tiffany's	第凡内早餐
Alexander and the Terrible, Horrible, No Good, Very Bad Day (2014)	亚历山大衰到家
MacGruber	百战天龙马盖鲜
The Hunger Games 2- Catching Fire	饥饿游戏：星火燎原
The Woman in Black	颤慄黑影
Fast Five	玩命关头5
Moana	海洋奇缘
The Painted Veil	神秘的面纱
Inglourious Basterds	恶棍特工
The Water Diviner	伊斯坦堡救援
Coherence	彗星来的那一夜
Vampires Suck	吸血鬼了没
Passengers	星际过客
Repo Men	索命条码
Arrival	异星入境
The Tourist	色遇
Potiche	幸福的小雨伞
Fearless	霍元甲
Guardians of the Galaxy	星际异攻队
Cinderella Man	最后一击
The Slammin' Salmon	拳王开饭馆
Breathe In	生活似流水
The Foreigner	英伦对决
Okja	玉子
Cult of Chucky	鬼娃仪式
Sinister 2	凶兆2：双疯
Playback	倒带
Devil's Due	恶灵婴弒
John Wick- Chapter 2	捍卫任务2：杀神回归
Iron Man 2	钢铁人2
The Boy	託阴
Europa Report	欧罗巴报告
It	牠
Jessabelle	母难日
Dawn of the Planet of the Apes	猩球崛起：黎明的进击
The Raid- Redemption	全面突袭
Cloud Atlas	云图
See No Evil 2	人皮客栈2
Fast and Furious 8	玩命关头8
The Woman in Black 2- Angel of Death (2014)	黑衣凶灵2：死亡天使
Drive Hard	惊天追逐
Inception	全面启动
Mama	母侵
Zhuo yao ji	捉妖记
Under the Skin	肌肤之侵
Intruders	入侵者
Notorious	声名狼借先生
Furry Vengeance	野蛮大对决
Eagle Eye	鹰眼
Are You Here	人生大逆转
King Kong	金刚
Spectre	007：恶魔四伏
Hatchet 3	鬼斧魔差
Gremlins	潘朵拉异兽
22 Jump Street	龙虎少年队：童颜巨捕
The Legend of Tarzan	泰山传奇
The Monster	公路怪物
The Babadook	鬼敲门
Insurgent	分歧者2：叛乱者
Lady and the Tramp	小姐与流氓
Warlords	投名状
The Goodbye Girl	再见女郎
Prime	春心荡漾
Wilson	威尔森
Le Chef	王牌大主厨
Four Lions	四个傻瓜
Star Trek	星际争霸战
Hall Pass	放风通行证
Thor	雷神索尔
A Cure for Wellness	救命解药
Flatliners	别闯阴阳界
Ip Man 3	叶问3：师徒情
Star Wars 7- The Force Awakens	STAR WARS：原力觉醒
The Bridges of Madison County	麦迪逊之桥
Muppets Most Wanted	布偶历险记：全面追缉
Creature	血异形
Watchmen	守护者
The Equalizer	私刑教育
Ouija- Origin of Evil	碟仙：恶灵始源
Black Death	黑死病
Wolf Warrior 2	战狼2
Paranormal Activity 3	鬼入镜3
Born in China	我们诞生在中国
Jerry Maguire	征服情海
Black Dynamite	黑色决杀令
Clown	小丑
Rommel	隆美尔
Kumiko, the Treasure Hunter	久美子的奇异旅程
Midnight Special	通天眼
The English Patient	英伦情人
Your Highness	王子殿下
A Scanner Darkly	心机扫描
City Lights	城市之光
Date Night	约会喔麦尬
THE GRAVEYARD	活人坟场
The Revenant	神鬼猎人
Men In Black 3 (MIB3)	MIB星际战警3
The Terminator	魔鬼终结者
Harry Potter and the Goblet of Fire	哈利波特－火盃的考验
The ABCs of Death	26种死法
The Da Vinci Code 	达文西密码
Honeymoon	血色蜜月
Patient Zero	零号带原者
The Signal	诡异讯
Bridesmaids	伴娘我最大
Poltergeist	鬼哭神号
Snow Falling on Cedars	爱在冰雪纷飞时
Thor- The Dark World	雷神索尔2：黑暗世界
Crimson Peak	腥红山庄
The Expendables 3	浴血任务3
The Unbearable Lightness of Being	布拉格的春天
Sinister	凶兆
War of the Worlds	世界大战
The Imaginarium of Doctor Parnassus	帕纳大师的魔幻冒险
The Last Airbender	降世神通：最后的气宗
